victim,mix,attackers,baseline_cycles_med,bg_cycles_med,slowdown_med,baseline_cycles_avg,bg_cycles_avg,slowdown_avg
bitonic,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",21799.50,21809.50,1.000,22397.00,23141.20,1.033
bsort,TIM_CACHE3,"CACHE CACHE CACHE",357831.00,359098.50,1.004,358319.50,360422.80,1.006
bsort,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",357831.00,361019.50,1.009,358319.50,362137.20,1.011
bsort,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",357831.00,355876.00,0.995,358319.50,360479.40,1.006
bsort,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",357831.00,363616.50,1.016,358319.50,362980.50,1.013
bsort,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",357831.00,357960.50,1.000,358319.50,358750.10,1.001
bsort,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",357831.00,360207.00,1.007,358319.50,434395.60,1.212
bsort,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",357831.00,358592.50,1.002,358319.50,359665.70,1.004
bsort,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",357831.00,357771.00,1.000,358319.50,358085.50,0.999
bsort,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",357831.00,359905.00,1.006,358319.50,361349.10,1.008
bsort,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",357831.00,357853.00,1.000,358319.50,358928.80,1.002
bsort,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",357831.00,358235.00,1.001,358319.50,362418.60,1.011
bsort,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",357831.00,361204.00,1.009,358319.50,361145.60,1.008
bsort,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",357831.00,357855.50,1.000,358319.50,358331.10,1.000
bsort,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",357831.00,357928.00,1.000,358319.50,359139.30,1.002
bsort,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",357831.00,360789.00,1.008,358319.50,361472.80,1.009
cjpeg_transupp,TIM_CACHE3,"CACHE CACHE CACHE",7199379.50,7230466.50,1.004,7197195.70,7232322.00,1.005
cjpeg_transupp,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",7199379.50,7206380.00,1.001,7197195.70,7205900.80,1.001
cjpeg_transupp,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",7199379.50,7274036.00,1.010,7197195.70,7275634.50,1.011
cjpeg_transupp,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",7199379.50,7228495.00,1.004,7197195.70,7229545.00,1.004
cjpeg_transupp,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",7199379.50,7226067.00,1.004,7197195.70,7232655.80,1.005
cjpeg_transupp,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",7199379.50,7364392.00,1.023,7197195.70,7533862.00,1.047
cjpeg_transupp,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",7199379.50,7191266.00,0.999,7197195.70,7198117.20,1.000
cjpeg_transupp,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",7199379.50,7159493.00,0.994,7197195.70,7168802.00,0.996
cjpeg_transupp,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",7199379.50,7263762.50,1.009,7197195.70,7262148.50,1.009
cjpeg_transupp,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",7199379.50,7250058.50,1.007,7197195.70,7257976.70,1.008
cjpeg_transupp,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",7199379.50,7346088.00,1.020,7197195.70,7384437.60,1.026
cjpeg_transupp,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",7199379.50,7205512.00,1.001,7197195.70,7207739.10,1.001
cjpeg_transupp,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",7199379.50,7213605.00,1.002,7197195.70,7216135.60,1.003
cjpeg_transupp,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",7199379.50,7231496.50,1.004,7197195.70,7228645.90,1.004
cjpeg_transupp,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",7199379.50,7247581.00,1.007,7197195.70,7250759.20,1.007
cjpeg_wrbmp,TIM_CACHE3,"CACHE CACHE CACHE",267104.00,268163.50,1.004,269805.00,271007.70,1.004
cjpeg_wrbmp,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",267104.00,267840.00,1.003,269805.00,269704.90,1.000
cjpeg_wrbmp,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",267104.00,284340.50,1.065,269805.00,285257.00,1.057
cjpeg_wrbmp,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",267104.00,268469.00,1.005,269805.00,272631.10,1.010
cjpeg_wrbmp,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",267104.00,269083.00,1.007,269805.00,272266.50,1.009
cjpeg_wrbmp,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",267104.00,269790.50,1.010,269805.00,277712.20,1.029
cjpeg_wrbmp,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",267104.00,269509.00,1.009,269805.00,270973.80,1.004
cjpeg_wrbmp,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",267104.00,267673.50,1.002,269805.00,269050.50,0.997
cjpeg_wrbmp,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",267104.00,274317.50,1.027,269805.00,274289.90,1.017
cjpeg_wrbmp,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",267104.00,268408.50,1.005,269805.00,272785.40,1.011
cjpeg_wrbmp,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",267104.00,274081.50,1.026,269805.00,285667.30,1.059
cjpeg_wrbmp,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",267104.00,275643.50,1.032,269805.00,276202.80,1.024
cjpeg_wrbmp,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",267104.00,278368.50,1.042,269805.00,278017.90,1.030
cjpeg_wrbmp,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",267104.00,277045.50,1.037,269805.00,280309.20,1.039
cjpeg_wrbmp,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",267104.00,268561.50,1.005,269805.00,272081.20,1.008
complex_updates,TIM_CACHE3,"CACHE CACHE CACHE",3635.50,3598.00,0.990,4193.20,4662.00,1.112
