sample,checkpoint_ns,predicate_ns,signal_ns,yield_ns,budget_update_ns,total_ns
607,125,375,5250,1625,1500,8875
608,0,375,5250,1625,1500,8750
609,125,375,5375,1625,1500,9000
610,125,375,5250,1625,1500,8875
611,125,375,5375,1500,1500,8875
612,125,500,5250,1625,1500,9000
613,125,500,5250,1625,1500,9000
614,125,375,5375,1625,1375,8875
615,0,375,5375,1625,1500,8875
616,125,500,5375,1625,1500,9125
617,125,375,5375,1750,1625,9250
618,125,375,5250,1625,1500,8875
619,125,375,5250,1625,1500,8875
620,125,375,5375,1625,1500,9000
621,0,375,5500,1750,1625,9250
622,125,375,5375,1625,1500,9000
623,125,375,5375,1625,1500,9000
624,0,375,5375,1750,1625,9125
625,125,375,5375,1625,1500,9000
626,125,500,5375,1625,1625,9250
627,0,375,5500,1750,1500,9125
628,125,375,5250,1625,1500,8875
629,125,375,5375,1625,1500,9000
630,125,375,5500,1625,1500,9125
631,125,375,5250,1750,1500,9000
632,125,375,5500,1750,1500,9250
633,125,375,5250,1750,1500,9000
634,125,375,5375,1625,1500,9000
635,125,375,5250,1625,1500,8875
636,125,375,5250,1625,1500,8875
637,125,500,5375,1750,1500,9250
638,125,375,5500,1625,1500,9125
639,125,375,5375,1625,1500,9000
640,125,375,5375,1750,1500,9125
641,0,375,5375,1625,1500,8875
642,0,375,5500,1625,1500,9000
643,0,375,5500,1625,1500,9000
644,125,375,5375,1750,1625,9250
645,125,375,5500,1750,1500,9250
646,125,375,6000,1750,1625,9875
647,125,375,5500,1625,1500,9125
648,125,375,5500,1750,1500,9250
649,125,375,5375,1750,1500,9125
650,125,375,5375,1625,1500,9000
651,125,375,5250,1750,1500,9000
652,125,375,5500,1750,1500,9250
653,125,375,5375,1625,1500,9000
654,125,375,5375,1750,1500,9125
655,125,375,5250,1625,1500,8875
656,125,375,5250,1750,1500,9000
657,125,500,5375,1750,1500,9250
658,125,375,5375,1625,1625,9125
659,125,375,5375,1750,1500,9125
660,125,375,5250,1750,1500,9000
661,125,375,5375,1750,1500,9125
662,125,375,5500,1750,1500,9250
663,125,375,5250,1625,1500,8875
664,125,375,5375,1625,1500,9000
665,125,375,5250,1625,1500,8875
666,125,375,5250,1625,1500,8875
667,125,375,5250,1625,1500,8875
668,125,375,5375,1625,1500,9000
669,125,375,5250,1625,1500,8875
