victim,mix,attackers,baseline_med,bg_med,slowdown_med,baseline_avg,bg_avg,slowdown_avg
iir,H14_CACHE_MEM_PRC,"CACHE MEM PR_CACHE",3468.50,3494.00,1.007,4424.50,4616.50,1.043
iir,H20_PTR_PRPTR_PRC,"POINTER PR_POINTER PR_CACHE",3468.50,5616.50,1.619,4424.50,8089.67,1.828
iir,H3_CACHE_PRC_PRC,"CACHE PR_CACHE PR_CACHE",3468.50,3543.50,1.022,4424.50,5359.67,1.211
iir,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",3468.50,4467.50,1.288,4424.50,9473.92,2.141
iir,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",3468.50,3496.50,1.008,4424.50,4027.00,0.910
iir,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",3468.50,3549.00,1.023,4424.50,4680.33,1.058
iir,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",3468.50,3545.00,1.022,4424.50,4338.25,0.981
iir,H16_CACHE_MEM_BUS,"CACHE MEM BUS",3468.50,3797.50,1.095,4424.50,7066.17,1.597
iir,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",3468.50,3599.00,1.038,4424.50,4959.75,1.121
iir,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",3468.50,3483.00,1.004,4424.50,3964.50,0.896
iir,H4_TUNED_KILLER,"CACHE BUS MEM",3468.50,3602.50,1.039,4424.50,5718.50,1.292
iir,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",3468.50,4154.50,1.198,4424.50,6330.50,1.431
iir,H5_MEM_PRR_MTHM,"MEM PR_ROWBUF MTH_MEM",3468.50,3709.00,1.069,4424.50,6440.00,1.456
iir,H10_PRC_PRT_PRROW,"PR_CACHE PR_TLB PR_ROWBUF",3468.50,3682.50,1.062,4424.50,4706.50,1.064
iir,H7_CACHE_PRC_PRMEMBUS,"CACHE PR_CACHE PR_MEMBUS",3468.50,3533.00,1.019,4424.50,4540.42,1.026
iir,H13_CACHE_BUS_PRC,"CACHE BUS PR_CACHE",3468.50,3504.50,1.010,4424.50,4110.83,0.929
iir,H2_CACHE_CACHE_PRC,"CACHE CACHE PR_CACHE",3468.50,3559.00,1.026,4424.50,4566.92,1.032
iir,H15_PRC_MTHC_MTHM,"PR_CACHE MTH_CACHE MTH_MEM",3468.50,3801.50,1.096,4424.50,6507.67,1.471
iir,H12_PRC_PRROW_MTHM,"PR_CACHE PR_ROWBUF MTH_MEM",3468.50,3969.50,1.144,4424.50,6209.08,1.403
iir,H9_PTR_PRPTR_MTHPTR,"POINTER PR_POINTER MTH_POINTER",3468.50,3536.50,1.020,4424.50,5842.58,1.321
duff,H14_CACHE_MEM_PRC,"CACHE MEM PR_CACHE",4762.00,4994.00,1.049,5177.67,8309.42,1.605
duff,H20_PTR_PRPTR_PRC,"POINTER PR_POINTER PR_CACHE",4762.00,4692.00,0.985,5177.67,5798.67,1.120
duff,H3_CACHE_PRC_PRC,"CACHE PR_CACHE PR_CACHE",4762.00,4775.00,1.003,5177.67,5688.83,1.099
duff,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",4762.00,4951.50,1.040,5177.67,9019.83,1.742
duff,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",4762.00,5934.50,1.246,5177.67,8102.75,1.565
duff,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",4762.00,4791.00,1.006,5177.67,7906.67,1.527
duff,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",4762.00,4762.00,1.000,5177.67,6292.17,1.215
duff,H16_CACHE_MEM_BUS,"CACHE MEM BUS",4762.00,5022.00,1.055,5177.67,8370.33,1.617
duff,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",4762.00,4845.00,1.017,5177.67,6045.50,1.168
duff,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",4762.00,4811.50,1.010,5177.67,5185.25,1.001
duff,H4_TUNED_KILLER,"CACHE BUS MEM",4762.00,4904.00,1.030,5177.67,8888.58,1.717
duff,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",4762.00,5558.00,1.167,5177.67,6703.67,1.295
duff,H5_MEM_PRR_MTHM,"MEM PR_ROWBUF MTH_MEM",4762.00,5054.50,1.061,5177.67,8145.83,1.573
duff,H10_PRC_PRT_PRROW,"PR_CACHE PR_TLB PR_ROWBUF",4762.00,4737.50,0.995,5177.67,5248.92,1.014
duff,H7_CACHE_PRC_PRMEMBUS,"CACHE PR_CACHE PR_MEMBUS",4762.00,4833.00,1.015,5177.67,6621.00,1.279
duff,H13_CACHE_BUS_PRC,"CACHE BUS PR_CACHE",4762.00,4756.00,0.999,5177.67,5652.83,1.092
duff,H2_CACHE_CACHE_PRC,"CACHE CACHE PR_CACHE",4762.00,4770.50,1.002,5177.67,6980.00,1.348
duff,H15_PRC_MTHC_MTHM,"PR_CACHE MTH_CACHE MTH_MEM",4762.00,5260.50,1.105,5177.67,7618.17,1.471
duff,H12_PRC_PRROW_MTHM,"PR_CACHE PR_ROWBUF MTH_MEM",4762.00,5469.50,1.149,5177.67,11021.08,2.129
duff,H9_PTR_PRPTR_MTHPTR,"POINTER PR_POINTER MTH_POINTER",4762.00,4838.50,1.016,5177.67,6141.75,1.186
fac,H14_CACHE_MEM_PRC,"CACHE MEM PR_CACHE",737.50,1134.00,1.538,1090.50,5234.17,4.800
fac,H20_PTR_PRPTR_PRC,"POINTER PR_POINTER PR_CACHE",737.50,730.00,0.990,1090.50,1865.92,1.711
fac,H3_CACHE_PRC_PRC,"CACHE PR_CACHE PR_CACHE",737.50,868.50,1.178,1090.50,3711.92,3.404
fac,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",737.50,1088.50,1.476,1090.50,4361.42,3.999
fac,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",737.50,808.00,1.096,1090.50,2058.67,1.888
fac,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",737.50,5299.00,7.185,1090.50,4698.00,4.308
fac,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",737.50,737.00,0.999,1090.50,1741.25,1.597
fac,H16_CACHE_MEM_BUS,"CACHE MEM BUS",737.50,853.50,1.157,1090.50,3389.83,3.109
fac,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",737.50,748.00,1.014,1090.50,1412.17,1.295
fac,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",737.50,782.50,1.061,1090.50,1264.83,1.160
fac,H4_TUNED_KILLER,"CACHE BUS MEM",737.50,730.50,0.991,1090.50,2373.00,2.176
