i,victim,triple,c_obs_med,c_solo,a_real,a_max,violation
280,cosf,countnegative+quicksort+huff_enc,14023.5,14047.0,0.0,1.0,False
281,dijkstra,prime+ludcmp+rad2deg,42025839.5,42009725.0,0.4855,77.2717,False
282,isqrt,matrix1+duff+bitcount,579496.0,581086.5,0.0,1.0,False
283,st,cosf+duff+cover,95117.5,94319.0,3.5888,4.8584,False
284,fir2dim,complex_updates+epic+adpcm_dec,5289.5,5103.0,0.5082,0.5967,False
285,powerwindow,jfdctint+bsort+dijkstra,773858.5,778011.5,0.0,1.0,False
286,ammunition,anagram+lift+duff,80684046.0,80687383.5,-0.3708,41.3058,False
287,pm,bsort+minver+susan,7792583.5,7814785.0,-0.9024,2.212,False
288,rad2deg,iir+bitcount+susan,3729.5,3729.0,0.0625,2.25,False
289,adpcm_dec,lms+duff+huff_enc,179200.5,178541.0,0.5437,3.446,False
290,huff_enc,h264_dec+fft+complex_updates,523931.0,525918.5,0.0,1.0,False
291,anagram,deg2rad+susan+huff_enc,0,1.0,0.0,1.0,False
292,bitonic,sha+audiobeam+g723_enc,7105.5,6972.5,0.8986,2.3412,False
293,iir,audiobeam+lms+minver,1144.5,1569.5,-2.2078,0.0,False
294,petrinet,anagram+cjpeg_transupp+cjpeg_transupp,722.0,707.5,0.3333,0.6322,False
295,rijndael_enc,lms+epic+binarysearch,0,1.0,0.0,1.0,False
296,cubic,bitonic+lift+rad2deg,1148380.0,1146691.0,0.0,1.0,False
297,gsm_dec,matrix1+matrix1+rijndael_dec,1839209.0,1831781.5,1.0311,3.9004,False
298,md5,cover+recursion+isqrt,18950340.0,18959441.0,-1.9164,0.0,False
299,fmref,h264_dec+h264_dec+epic,214973.0,214034.5,0.0,1.0,False
300,susan,ludcmp+gsm_enc+epic,30757175.5,30680684.0,0.1998,1.434,False
301,lms,md5+anagram+md5,158669.5,157621.5,0.8037,2.7385,False
302,quicksort,bitcount+rad2deg+countnegative,2866139.0,2863682.5,0.6876,21.9323,False
303,minver,countnegative+deg2rad+ndes,1398.5,1348.5,5.0,0.0,True
304,binarysearch,cjpeg_wrbmp+cubic+complex_updates,687.0,664.0,0.8214,1.0357,False
305,lift,audiobeam+cjpeg_wrbmp+adpcm_dec,448425.5,443951.0,0.0598,0.0313,True
