t_s,victim,c_obs,rampart_full,ratio,violation
610.71,test3,875996293.5,877025267.452,0.9988,False
612.19,jfdctint,21362.5,25117.031,0.8505,False
612.76,fac,10844.0,2439.197,4.4457,True
613.31,fir2dim,13508.5,14991.022,0.9011,False
613.81,fmref,742078.5,727400.933,1.0202,True
614.2,cosf,51071.5,59951.826,0.8519,False
627.53,test3,878795691.0,877025267.452,1.002,True
627.89,jfdctint,25967.0,25117.031,1.0338,True
628.27,fac,5506.5,2439.197,2.2575,True
628.68,fir2dim,40740.5,14991.022,2.7177,True
629.06,fmref,679137.0,727400.933,0.9336,False
629.42,cosf,31054.5,59951.826,0.518,False
642.02,test3,871547782.5,877025267.452,0.9938,False
642.38,jfdctint,23591.5,25117.031,0.9393,False
642.77,fac,9243.0,2439.197,3.7894,True
643.14,fir2dim,26426.0,14991.022,1.7628,True
643.84,fmref,673938.5,727400.933,0.9265,False
644.19,cosf,31312.0,59951.826,0.5223,False
657.66,test3,877982806.5,877025267.452,1.0011,True
658.04,jfdctint,24249.0,25117.031,0.9654,False
658.43,fac,10299.0,2439.197,4.2223,True
658.8,fir2dim,13798.5,14991.022,0.9205,False
659.18,fmref,739703.5,727400.933,1.0169,True
659.55,cosf,32997.5,59951.826,0.5504,False
673.04,test3,874522486.0,877025267.452,0.9971,False
673.4,jfdctint,24563.0,25117.031,0.9779,False
673.78,fac,7157.0,2439.197,2.9342,True
675.23,fir2dim,35892.5,14991.022,2.3943,True
675.85,fmref,758698.5,727400.933,1.043,True
676.4,cosf,31261.5,59951.826,0.5214,False
689.22,test3,870425172.0,877025267.452,0.9925,False
689.59,jfdctint,10705.0,25117.031,0.4262,False
689.95,fac,4201.0,2439.197,1.7223,True
690.32,fir2dim,16178.0,14991.022,1.0792,True
690.7,fmref,741388.5,727400.933,1.0192,True
691.06,cosf,33690.5,59951.826,0.562,False
704.03,test3,874978806.5,877025267.452,0.9977,False
704.58,jfdctint,21147.0,25117.031,0.8419,False
704.96,fac,5743.5,2439.197,2.3547,True
705.4,fir2dim,28915.0,14991.022,1.9288,True
705.79,fmref,741373.5,727400.933,1.0192,True
706.16,cosf,55476.5,59951.826,0.9254,False
719.51,test3,877092005.5,877025267.452,1.0001,True
719.88,jfdctint,14410.5,25117.031,0.5737,False
720.25,fac,3173.5,2439.197,1.301,True
720.94,fir2dim,24272.0,14991.022,1.6191,True
