# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=192] cpu=0 bench=complex_updates cycles=3681 instructions=2553 cache-misses=4
[sample=193] cpu=0 bench=complex_updates cycles=4046 instructions=2553 cache-misses=8
[sample=194] cpu=0 bench=complex_updates cycles=4381 instructions=2553 cache-misses=4
[sample=195] cpu=0 bench=complex_updates cycles=3629 instructions=2554 cache-misses=6
[sample=196] cpu=0 bench=complex_updates cycles=3566 instructions=2553 cache-misses=9
[sample=197] cpu=0 bench=complex_updates cycles=3595 instructions=2553 cache-misses=4
[sample=198] cpu=0 bench=complex_updates cycles=4067 instructions=2553 cache-misses=5
[sample=199] cpu=0 bench=complex_updates cycles=3789 instructions=2553 cache-misses=3
[sample=200] cpu=0 bench=complex_updates cycles=3881 instructions=2553 cache-misses=6
[sample=201] cpu=0 bench=complex_updates cycles=4018 instructions=2553 cache-misses=4
[sample=202] cpu=0 bench=complex_updates cycles=3630 instructions=2553 cache-misses=5
[sample=203] cpu=0 bench=complex_updates cycles=3645 instructions=2553 cache-misses=5
[sample=204] cpu=0 bench=complex_updates cycles=3620 instructions=2553 cache-misses=5
[sample=205] cpu=0 bench=complex_updates cycles=3673 instructions=2553 cache-misses=7
[sample=206] cpu=0 bench=complex_updates cycles=8293 instructions=2553 cache-misses=9
[sample=207] cpu=0 bench=complex_updates cycles=3620 instructions=2553 cache-misses=3
[sample=208] cpu=0 bench=complex_updates cycles=3623 instructions=2553 cache-misses=2
[sample=209] cpu=0 bench=complex_updates cycles=3618 instructions=2553 cache-misses=1
[sample=210] cpu=0 bench=complex_updates cycles=3832 instructions=2553 cache-misses=2
[sample=211] cpu=0 bench=complex_updates cycles=8472 instructions=2553 cache-misses=4
[sample=212] cpu=0 bench=complex_updates cycles=3685 instructions=2553 cache-misses=5
[sample=213] cpu=0 bench=complex_updates cycles=3698 instructions=2553 cache-misses=3
[sample=214] cpu=0 bench=complex_updates cycles=3640 instructions=2553 cache-misses=7
[sample=215] cpu=0 bench=complex_updates cycles=3606 instructions=2553 cache-misses=3
[sample=216] cpu=0 bench=complex_updates cycles=3610 instructions=2553 cache-misses=2
[sample=217] cpu=0 bench=complex_updates cycles=4082 instructions=2553 cache-misses=2
[sample=218] cpu=0 bench=complex_updates cycles=3885 instructions=2553 cache-misses=1
[sample=219] cpu=0 bench=complex_updates cycles=4377 instructions=2553 cache-misses=3
[sample=220] cpu=0 bench=complex_updates cycles=3881 instructions=2553 cache-misses=1
[sample=221] cpu=0 bench=complex_updates cycles=3626 instructions=2553 cache-misses=3
[sample=222] cpu=0 bench=complex_updates cycles=3588 instructions=2553 cache-misses=3
[sample=223] cpu=0 bench=complex_updates cycles=3615 instructions=2553 cache-misses=4
[sample=224] cpu=0 bench=complex_updates cycles=3594 instructions=2553 cache-misses=3
[sample=225] cpu=0 bench=complex_updates cycles=4306 instructions=2553 cache-misses=5
[sample=226] cpu=0 bench=complex_updates cycles=4003 instructions=2553 cache-misses=4
[sample=227] cpu=0 bench=complex_updates cycles=3670 instructions=2553 cache-misses=3
[sample=228] cpu=0 bench=complex_updates cycles=3592 instructions=2553 cache-misses=4
[sample=229] cpu=0 bench=complex_updates cycles=3614 instructions=2553 cache-misses=5
[sample=230] cpu=0 bench=complex_updates cycles=3571 instructions=2553 cache-misses=2
[sample=231] cpu=0 bench=complex_updates cycles=3612 instructions=2553 cache-misses=4
[sample=232] cpu=0 bench=complex_updates cycles=3688 instructions=2553 cache-misses=3
[sample=233] cpu=0 bench=complex_updates cycles=3739 instructions=2553 cache-misses=3
[sample=234] cpu=0 bench=complex_updates cycles=3706 instructions=2554 cache-misses=4
[sample=235] cpu=0 bench=complex_updates cycles=3619 instructions=2553 cache-misses=3
[sample=236] cpu=0 bench=complex_updates cycles=3605 instructions=2553 cache-misses=7
[sample=237] cpu=0 bench=complex_updates cycles=5209 instructions=2553 cache-misses=14
[sample=238] cpu=0 bench=complex_updates cycles=3651 instructions=2553 cache-misses=9
[sample=239] cpu=0 bench=complex_updates cycles=3587 instructions=2553 cache-misses=6
[sample=240] cpu=0 bench=complex_updates cycles=4420 instructions=2554 cache-misses=14
[sample=241] cpu=0 bench=complex_updates cycles=4196 instructions=2553 cache-misses=3
[sample=242] cpu=0 bench=complex_updates cycles=3644 instructions=2553 cache-misses=6
[sample=243] cpu=0 bench=complex_updates cycles=3895 instructions=2553 cache-misses=8
[sample=244] cpu=0 bench=complex_updates cycles=4152 instructions=2553 cache-misses=4
[sample=245] cpu=0 bench=complex_updates cycles=4383 instructions=2553 cache-misses=2
[sample=246] cpu=0 bench=complex_updates cycles=3658 instructions=2553 cache-misses=3
[sample=247] cpu=0 bench=complex_updates cycles=3616 instructions=2553 cache-misses=1
[sample=248] cpu=0 bench=complex_updates cycles=3628 instructions=2553 cache-misses=4
[sample=249] cpu=0 bench=complex_updates cycles=3623 instructions=2554 cache-misses=3
[sample=250] cpu=0 bench=complex_updates cycles=3742 instructions=2553 cache-misses=3
[sample=251] cpu=0 bench=complex_updates cycles=3687 instructions=2553 cache-misses=2
[sample=252] cpu=0 bench=complex_updates cycles=4387 instructions=2553 cache-misses=2
[sample=253] cpu=0 bench=complex_updates cycles=3579 instructions=2553 cache-misses=6
[sample=254] cpu=0 bench=complex_updates cycles=3613 instructions=2553 cache-misses=5
[sample=255] cpu=0 bench=complex_updates cycles=4140 instructions=2553 cache-misses=6
[sample=256] cpu=0 bench=complex_updates cycles=3993 instructions=2553 cache-misses=1
[sample=257] cpu=0 bench=complex_updates cycles=4503 instructions=2553 cache-misses=1
[sample=258] cpu=0 bench=complex_updates cycles=3653 instructions=2553 cache-misses=2
[sample=259] cpu=0 bench=complex_updates cycles=3625 instructions=2553 cache-misses=0
[sample=260] cpu=0 bench=complex_updates cycles=3614 instructions=2553 cache-misses=4
[sample=261] cpu=0 bench=complex_updates cycles=3599 instructions=2553 cache-misses=5
[sample=262] cpu=0 bench=complex_updates cycles=3981 instructions=2553 cache-misses=6
[sample=263] cpu=0 bench=complex_updates cycles=3725 instructions=2553 cache-misses=5
[sample=264] cpu=0 bench=complex_updates cycles=3879 instructions=2553 cache-misses=4
[sample=265] cpu=0 bench=complex_updates cycles=4038 instructions=2553 cache-misses=7
[sample=266] cpu=0 bench=complex_updates cycles=3615 instructions=2553 cache-misses=4
