# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_enc (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=225] cpu=0 bench=adpcm_enc cycles=316911 instructions=223674 cache-misses=11
[sample=226] cpu=0 bench=adpcm_enc cycles=316335 instructions=223673 cache-misses=15
[sample=227] cpu=0 bench=adpcm_enc cycles=315552 instructions=223673 cache-misses=17
[sample=228] cpu=0 bench=adpcm_enc cycles=316720 instructions=223673 cache-misses=15
[sample=229] cpu=0 bench=adpcm_enc cycles=318192 instructions=223673 cache-misses=15
[sample=230] cpu=0 bench=adpcm_enc cycles=308878 instructions=223674 cache-misses=14
[sample=231] cpu=0 bench=adpcm_enc cycles=321910 instructions=223675 cache-misses=15
[sample=232] cpu=0 bench=adpcm_enc cycles=308395 instructions=223672 cache-misses=15
[sample=233] cpu=0 bench=adpcm_enc cycles=311695 instructions=223673 cache-misses=16
[sample=234] cpu=0 bench=adpcm_enc cycles=323236 instructions=223676 cache-misses=29
[sample=235] cpu=0 bench=adpcm_enc cycles=330003 instructions=223673 cache-misses=19
[sample=236] cpu=0 bench=adpcm_enc cycles=313241 instructions=223673 cache-misses=15
[sample=237] cpu=0 bench=adpcm_enc cycles=316314 instructions=223674 cache-misses=19
[sample=238] cpu=0 bench=adpcm_enc cycles=312581 instructions=223672 cache-misses=18
[sample=239] cpu=0 bench=adpcm_enc cycles=339008 instructions=223673 cache-misses=22
[sample=240] cpu=0 bench=adpcm_enc cycles=337566 instructions=223675 cache-misses=19
[sample=241] cpu=0 bench=adpcm_enc cycles=329234 instructions=223673 cache-misses=20
[sample=242] cpu=0 bench=adpcm_enc cycles=319571 instructions=223673 cache-misses=17
[sample=243] cpu=0 bench=adpcm_enc cycles=331941 instructions=223676 cache-misses=27
[sample=244] cpu=0 bench=adpcm_enc cycles=328717 instructions=223672 cache-misses=24
[sample=245] cpu=0 bench=adpcm_enc cycles=311219 instructions=223672 cache-misses=22
[sample=246] cpu=0 bench=adpcm_enc cycles=312484 instructions=223672 cache-misses=19
[sample=247] cpu=0 bench=adpcm_enc cycles=309796 instructions=223672 cache-misses=15
[sample=248] cpu=0 bench=adpcm_enc cycles=315316 instructions=223672 cache-misses=22
[sample=249] cpu=0 bench=adpcm_enc cycles=315357 instructions=223673 cache-misses=18
[sample=250] cpu=0 bench=adpcm_enc cycles=537285 instructions=223672 cache-misses=16
[sample=251] cpu=0 bench=adpcm_enc cycles=315540 instructions=223675 cache-misses=16
[sample=252] cpu=0 bench=adpcm_enc cycles=309852 instructions=223673 cache-misses=18
[sample=253] cpu=0 bench=adpcm_enc cycles=316750 instructions=223673 cache-misses=16
[sample=254] cpu=0 bench=adpcm_enc cycles=316409 instructions=223675 cache-misses=16
[sample=255] cpu=0 bench=adpcm_enc cycles=311749 instructions=223676 cache-misses=27
[sample=256] cpu=0 bench=adpcm_enc cycles=323358 instructions=223673 cache-misses=24
[sample=257] cpu=0 bench=adpcm_enc cycles=317308 instructions=223673 cache-misses=18
[sample=258] cpu=0 bench=adpcm_enc cycles=308902 instructions=223672 cache-misses=14
[sample=259] cpu=0 bench=adpcm_enc cycles=311602 instructions=223672 cache-misses=16
[sample=260] cpu=0 bench=adpcm_enc cycles=310353 instructions=223673 cache-misses=14
[sample=261] cpu=0 bench=adpcm_enc cycles=315902 instructions=223673 cache-misses=17
[sample=262] cpu=0 bench=adpcm_enc cycles=314563 instructions=223673 cache-misses=12
[sample=263] cpu=0 bench=adpcm_enc cycles=311803 instructions=223673 cache-misses=19
[sample=264] cpu=0 bench=adpcm_enc cycles=317476 instructions=223674 cache-misses=16
[sample=265] cpu=0 bench=adpcm_enc cycles=311569 instructions=223673 cache-misses=18
[sample=266] cpu=0 bench=adpcm_enc cycles=317519 instructions=223672 cache-misses=17
[sample=267] cpu=0 bench=adpcm_enc cycles=314798 instructions=223674 cache-misses=15
[sample=268] cpu=0 bench=adpcm_enc cycles=315727 instructions=223677 cache-misses=26
[sample=269] cpu=0 bench=adpcm_enc cycles=323995 instructions=223675 cache-misses=22
[sample=270] cpu=0 bench=adpcm_enc cycles=327063 instructions=223675 cache-misses=22
[sample=271] cpu=0 bench=adpcm_enc cycles=319348 instructions=223674 cache-misses=18
[sample=272] cpu=0 bench=adpcm_enc cycles=311023 instructions=223673 cache-misses=15
[sample=273] cpu=0 bench=adpcm_enc cycles=311929 instructions=223672 cache-misses=16
[sample=274] cpu=0 bench=adpcm_enc cycles=309817 instructions=223673 cache-misses=12
[sample=275] cpu=0 bench=adpcm_enc cycles=309600 instructions=223674 cache-misses=21
[sample=276] cpu=0 bench=adpcm_enc cycles=309503 instructions=223672 cache-misses=16
[sample=277] cpu=0 bench=adpcm_enc cycles=310061 instructions=223673 cache-misses=19
[sample=278] cpu=0 bench=adpcm_enc cycles=313016 instructions=223675 cache-misses=14
[sample=279] cpu=0 bench=adpcm_enc cycles=324937 instructions=223672 cache-misses=15
[sample=280] cpu=0 bench=adpcm_enc cycles=345981 instructions=223673 cache-misses=21
[sample=281] cpu=0 bench=adpcm_enc cycles=347468 instructions=223673 cache-misses=19
[sample=282] cpu=0 bench=adpcm_enc cycles=336107 instructions=223673 cache-misses=14
[sample=283] cpu=0 bench=adpcm_enc cycles=321467 instructions=223672 cache-misses=15
[sample=284] cpu=0 bench=adpcm_enc cycles=307910 instructions=223672 cache-misses=13
[sample=285] cpu=0 bench=adpcm_enc cycles=311690 instructions=223672 cache-misses=11
[sample=286] cpu=0 bench=adpcm_enc cycles=316759 instructions=223672 cache-misses=17
[sample=287] cpu=0 bench=adpcm_enc cycles=315224 instructions=223678 cache-misses=37
[sample=288] cpu=0 bench=adpcm_enc cycles=317337 instructions=223672 cache-misses=20
[sample=289] cpu=0 bench=adpcm_enc cycles=316682 instructions=223673 cache-misses=15
