# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=ndes (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=299] cpu=0 bench=ndes cycles=111052 instructions=83049 cache-misses=39
[sample=300] cpu=0 bench=ndes cycles=116344 instructions=83049 cache-misses=29
[sample=301] cpu=0 bench=ndes cycles=107668 instructions=83049 cache-misses=32
[sample=302] cpu=0 bench=ndes cycles=106534 instructions=83049 cache-misses=36
[sample=303] cpu=0 bench=ndes cycles=111366 instructions=83049 cache-misses=43
[sample=304] cpu=0 bench=ndes cycles=113318 instructions=83050 cache-misses=34
[sample=305] cpu=0 bench=ndes cycles=110006 instructions=83051 cache-misses=40
[sample=306] cpu=0 bench=ndes cycles=105758 instructions=83050 cache-misses=37
[sample=307] cpu=0 bench=ndes cycles=109599 instructions=83051 cache-misses=44
[sample=308] cpu=0 bench=ndes cycles=112451 instructions=83052 cache-misses=33
[sample=309] cpu=0 bench=ndes cycles=114626 instructions=83052 cache-misses=48
[sample=310] cpu=0 bench=ndes cycles=115417 instructions=83051 cache-misses=41
[sample=311] cpu=0 bench=ndes cycles=107518 instructions=83050 cache-misses=33
[sample=312] cpu=0 bench=ndes cycles=105425 instructions=83050 cache-misses=42
[sample=313] cpu=0 bench=ndes cycles=113901 instructions=83051 cache-misses=42
[sample=314] cpu=0 bench=ndes cycles=107350 instructions=83051 cache-misses=40
[sample=315] cpu=0 bench=ndes cycles=106088 instructions=83052 cache-misses=38
[sample=316] cpu=0 bench=ndes cycles=106920 instructions=83051 cache-misses=44
[sample=317] cpu=0 bench=ndes cycles=112233 instructions=83051 cache-misses=41
[sample=318] cpu=0 bench=ndes cycles=106184 instructions=83051 cache-misses=52
[sample=319] cpu=0 bench=ndes cycles=109979 instructions=83051 cache-misses=36
[sample=320] cpu=0 bench=ndes cycles=110460 instructions=83050 cache-misses=39
[sample=321] cpu=0 bench=ndes cycles=106170 instructions=83050 cache-misses=34
[sample=322] cpu=0 bench=ndes cycles=105345 instructions=83049 cache-misses=33
[sample=323] cpu=0 bench=ndes cycles=111383 instructions=83050 cache-misses=38
[sample=324] cpu=0 bench=ndes cycles=110778 instructions=83051 cache-misses=41
